firstname,lastname,countrycode,country,sex,type,rule,infractiondate,ineligibleyears,sanction,ineligabletodate,,,,,,,,,,,,,,,,
Mikhail,Feropontov,RUS,Russia,M,IAAF Rule 32.2c,Refusal,7/12/14,2,2 years ineligibility,11/12/16,,,,,,,,,,,,,,,,
Alexander,Gnezdilov,RUS,Russia,M,AAF,Oxandrolone,12/22/13,4,4 years ineligibility,1/13/18,,,,,,,,,,,,,,,,
Elizaveta,Grechishnikova,RUS,Russia,F,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,8/18/09,2,2 years ineligibility,10/15/15,,,,,,,,,,,,,,,,
Aleksandra,Gulyaeva,RUS,Russia,F,AAF,Prasterone,12/22/13,2,2 years ineligibility,1/20/16,,,,,,,,,,,,,,,,
Kristina,Ilyushova,RUS,Russia,F,AAF,Dehydrochloromethyltestosterone,2/26/15,4,4 years ineligibility,3/16/19,,,,,,,,,,,,,,,,
Yevgeniya,Ivanova,RUS,Russia,F,AAF,Dehydrochloromethyltestosterone,8/1/14,2,2 years ineligibility,8/12/16,,,,,,,,,,,,,,,,
Andrei,Khizbulin,RUS,Russia,M,AAF,Dehydrochloromethyltestosterone,7/12/14,2,2 years ineligibility,7/21/16,,,,,,,,,,,,,,,,
Dimitriy,Khomutov,RUS,Russia,M,AAF,Metenolone,7/14/14,2,2 years ineligibility,7/27/16,,,,,,,,,,,,,,,,
Irina,Khorzanenko,RUS,Russia,F,AAF,Stanozolol,8/18/04,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Svetlana,Komarova,RUS,Russia,F,AAF,Oxandrolone,12/22/13,2,2 years ineligibility,1/9/16,,,,,,,,,,,,,,,,
Valentin,Kruglyakov,RUS,Russia,M,AAF,Nandrolone,2/13/13,4,4 years ineligibility,2/20/17,,,,,,,,,,,,,,,,
Elena,Lashmanova,RUS,Russia,F,AAF,GW1516,1/4/14,2,2 years ineligibility,2/25/16,,,,,,,,,,,,,,,,
Nadezhda,Mokeeva,RUS,Russia,F,AAF,SARMs,3/23/14,2,2 years ineligibility,4/2/16,,,,,,,,,,,,,,,,
Stanislav,Mokin,RUS,Russia,M,IAAF rule 32.2f; IAAF Rule 32.2 (b),Possession of a prohibited substance ; Use of a prohibited substance,4/25/14,2,2 years ineligibility,10/12/16,,,,,,,,,,,,,,,,
Sergey,Morozov,RUS,Russia,M,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,2/25/11,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Nina,Okhotnikova,RUS,Russia,F,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,6/21/11,2,2 years ineligibility,1/21/17,,,,,,,,,,,,,,,,
Elena,Paushkina,RUS,Russia,F,AAF,Clenbuterol,4/16/14,2,2 years ineligibility,4/23/16,,,,,,,,,,,,,,,,
Olga,Paushkina,RUS,Russia,F,AAF,Clenbuterol,4/16/14,2,2 years ineligibility,4/23/16,,,,,,,,,,,,,,,,
Yevgeniya,Pecherina,RUS,Russia,F,AAF,Dehydrochloromethyltestosterone,6/23/13,10,10 years ineligibility,6/23/23,,,,,,,,,,,,,,,,
Darya,Pischalnikova,RUS,Russia,F,AAF,Oxandrolone,5/20/12,10,10 years ineligibility (2nd ADRV),11/1/22,,,,,,,,,,,,,,,,
Andrey,Ruzavin,RUS,Russia,M,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,12/18/11,2.5,2 years and 6 months ineligibility ; Disq. of results: from 18.12.11 to 18.02.12 and 13.09.13 to 13.11.13,4/8/17,,,,,,,,,,,,,,,,
Elena,Ryabenko,RUS,Russia,F,AAF,Stanozolol,7/14/14,2,2 years ineligibility,7/27/16,,,,,,,,,,,,,,,,
Vitaliy,Ryzhikov,RUS,Russia,M,AAF,Methylhexaneamine,12/20/14,1.5,1 year and 6 months ineligibility,6/24/16,,,,,,,,,,,,,,,,
Viktor,Saenko,RUS,Russia,M,AAF,Torasemide,3/30/14,2,2 years ineligibility,4/7/16,,,,,,,,,,,,,,,,
Damir,Saurbaev,RUS,Russia,M,AAF,Bromantan,7/15/14,2,2 years ineligibility,7/27/16,,,,,,,,,,,,,,,,
Roman,Semakin,RUS,Russia,M,AAF,SARMs,2/26/14,2,2 years ineligibility,3/3/16,,,,,,,,,,,,,,,,
Vyacheslav,Shalamov,RUS,Russia,M,AAF,Dehydrochloromethyltestosterone,4/16/14,2,2 years ineligibility,4/23/16,,,,,,,,,,,,,,,,
Uliyana,Sharikova,RUS,Russia,M,AAF,Bromantan,3/30/14,2,2 years ineligibility,4/7/16,,,,,,,,,,,,,,,,
Natalya,Shekhodanova,RUS,Russia,F,AAF,Stanozolol,2/22/04,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Dimitriy,Sintsov,RUS,Russia,M,AAF,Stanozolol,7/12/14,3,3 years ineligibility,7/22/17,,,,,,,,,,,,,,,,
Elena,Tarakanova,RUS,Russia,F,IAAF Rule 32.2c,Refusal,7/12/14,2,2 years ineligibility,12/21/16,,,,,,,,,,,,,,,,
Yuliya,Tutayeva-Nevyantseva,RUS,Russia,F,AAF,Acetazolamide,2/26/14,2,2 years ineligibility,8/6/16,,,,,,,,,,,,,,,,
Yevgeniy,Ustavshchikov,RUS,Russia,M,AAF,Amphetamine,12/22/13,2,2 years ineligibility,1/13/16,,,,,,,,,,,,,,,,
Azalya,Valeeva,RUS,Russia,F,AAF,Fonturacetam,7/12/14,2,2 years ineligibility,7/22/16,,,,,,,,,,,,,,,,
Anna,Yagupova,RUS,Russia,F,AAF,Dehyrdochloromethyltestosterone ; Stanozolol,7/12/14,2,2 years ineligibility ;,7/22/16,,,,,,,,,,,,,,,,
Irina,Yumanova,RUS,Russia,F,AAF,SARMs,3/22/14,2,2 years ineligibility,4/2/16,,,,,,,,,,,,,,,,
Yousef,Alasiri,KSA,Saudi Arabia,M,AAF,Clenbuterol,5/16/14,2,2 years ineligibility,6/9/16,,,,,,,,,,,,,,,,
Abdulaziz,Aldossary,KSA,Saudi Arabia,M,AAF,Amphetamine,5/17/14,2,2 years ineligibility,6/15/16,,,,,,,,,,,,,,,,
Fahad,Al Kalva,KSA,Saudi Arabia,M,AAF,"Amphetamine, Cannabis",2/27/15,4,4 years ineligibility,3/28/19,,,,,,,,,,,,,,,,
Mashnati,Naif,KSA,Saudi Arabia,M,AAF,Norandrosterone,2/27/15,4,4 years ineligibility,4/1/19,,,,,,,,,,,,,,,,
Mohammed,Shaween,KSA,Saudi Arabia,M,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,6/12/11,3,3 years ineligibility,2/12/16,,,,,,,,,,,,,,,,
Mohammed,Yousef,KSA,Saudi Arabia,M,AAF,Stanozolol,2/27/15,4,4 years ineligibility,3/22/19,,,,,,,,,,,,,,,,
Daouda,Diagne,SEN,Senegal,M,AAF,Testosterone,7/7/15,4,4 years ineligibility,9/22/19,,,,,,,,,,,,,,,,
Nemanja,Kojic,SRB,Serbia,M,AAF,Furosemide,7/25/15,2,2 years ineligibility,8/10/17,,,,,,,,,,,,,,,,
Matej,Gasaj,SVK,Slovakia,M,AAF,Dehydrochloromethyltestosterone,7/13/14,2,2 years ineligibility,7/9/16,,,,,,,,,,,,,,,,
Milan,Haborak,SVK,Slovakia,M,AAF,AAF - Stanozolol,6/21/10,100,Lifetime ban,As from 21 June 2010,,,,,,,,,,,,,,,,
Mikulas,Konopka,SVK,Slovakia,M,AAF,Methandienone,5/13/08,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Thozama,April,RSA,South Africa,F,AAF,"AAF Phentermine, Prednisolone & Norandrosterone",9/21/14,2,2 years ineligibility,12/28/16,,,,,,,,,,,,,,,,
Andre,Koekemoer,RSA,South Africa,M,AAF,Stanozolol ; Testosterone,7/23/13,8,8 years ineligibility,7/22/21,,,,,,,,,,,,,,,,
Simon,Magakwe,RSA,South Africa,M,IAAF Rule 32.2c,Refusal to submit to doping control,12/22/14,2,2 years ineligibility,1/28/17,,,,,,,,,,,,,,,,
Joseph,Mphuti,RSA,South Africa,M,AAF,Norandrosterone,4/12/14,2,2 years ineligibility,4/11/16,,,,,,,,,,,,,,,,
Lindikhaya,Mthangayi,RSA,South Africa,M,AAF,Mehandienone,9/22/13,4,4 years ineligibility,9/21/17,,,,,,,,,,,,,,,,
Martinique,Potgieter,RSA,South Africa,F,AAF,Phentermine and Furosemide,6/1/14,2,2 years ineligibility,5/31/16,,,,,,,,,,,,,,,,
Innis,Viviers,RSA,South Africa,M,AAF,Stanozolol,2/11/05,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Juan Jose,Escobar Lechuga,ESP,Spain,M,AAF,Mesterolone,10/20/13,2,2 years ineligibility,12/10/15,,,,,,,,,,,,,,,,
Miguel Angel,Gamonal,ESP,Spain,M,AAF,"Clenbuterol , ABP Case - IAAF Rule 32.2b Use/attempted use of a prohibited substance/method",9/29/13,5,5 years ineligibility,10/25/18,,,,,,,,,,,,,,,,
Sergio,Sanchez Martinez,ESP,Spain,M,AAF,EPO,7/28/13,2,2 years ineligibility,11/25/15,,,,,,,,,,,,,,,,
Achala Shalika,Dias,SRI,Sri Lanka,F,AAF,Metenolone &Trenbolone,5/9/15,4,4 years ineligibility,5/9/19,,,,,,,,,,,,,,,,
Mohsen,Ali Nourozi,SWE,Sweden,M,AAF,Metandienone,2/20/14,2,2 years ineligibility,4/24/16,,,,,,,,,,,,,,,,
Andreas,Gustafsson,SWE,Sweden,M,AAF,EPO,12/14/14,2,2 years ineligibility,3/19/17,,,,,,,,,,,,,,,,
Sofie,Hedman,SWE,Sweden,F,AAF,Stanozolol,6/2/14,2,2 years ineligibility,7/20/16,,,,,,,,,,,,,,,,
Simon,Larsson,SWE,Sweden,M,IAAF Rule 32.2e,Tampering,10/7/14,2,2 years ineligibility,3/2/17,,,,,,,,,,,,,,,,
Mikael,Malmqvist,SWE,Sweden,M,AAF,AAF Methandienone,6/17/14,2,2 years ineligibility,7/31/16,,,,,,,,,,,,,,,,
Himik,Marcin,SWE,Sweden,M,AAF,Stanozolol & Norandrosterone,6/3/14,3,3 years ineligibility,7/31/17,,,,,,,,,,,,,,,,
Niklas,Nilsson,SWE,Sweden,M,AAF,Methandienone,10/20/14,2,2 years ineligibility,11/20/16,,,,,,,,,,,,,,,,
Andreas,Olofsson,SWE,Sweden,M,AAF,Dehydrochloromethyltestosterone,11/13/14,2,2 years ineligibility,12/20/16,,,,,,,,,,,,,,,,
Monira,Alsaleh,SYR,Syria,F,AAF,Stanozolol,2/26/10,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Sara,Ramadhani,TAN,Tanzania,F,AAF,Isometheptene,1/12/14,2,2 years ineligibility,3/31/16,,,,,,,,,,,,,,,,
Burcu,Akmazoglu,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,5/12/13,2.5,2 years and 6 months,12/13/15,,,,,,,,,,,,,,,,
Surreya,Ayhan-Kop,TUR,Turkey,F,AAF,AAF Stanozolol,9/8/07,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Asli,Cakir Alptekin,TUR,Turkey,F,IAAF Rule 32.2f; IAAF Rule 32.2b,Possession of a prohibited substance/method ; ABP Case-Use/attempted use of a prohibited substance/method,7/29/10,8,8 years ineligibility,1/9/21,,,,,,,,,,,,,,,,
Isa,Can,TUR,Turkey,M,AAF,Stanozolol & Methandienone,5/25/13,2.5,2 years and 6 months ineligibility,12/25/15,,,,,,,,,,,,,,,,
Gokce,Celenk,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,5/12/13,2,2 years and 6 months ineligibility,12/13/15,,,,,,,,,,,,,,,,
Fatih,Eryildirim,TUR,Turkey,M,AAF,Stanozolol & Dehydrochloromethyltestosterone,6/7/13,2.5,2 years and 6 months ineligibility,12/25/15,,,,,,,,,,,,,,,,
Dilek,Esmer,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,6/2/13,2.5,2 years and 6 months ineligibility,12/24/15,,,,,,,,,,,,,,,,
Emel,Gungor,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,5/30/13,2.5,2 years and 6 months ineligibility,12/26/15,,,,,,,,,,,,,,,,
Pinar,Saka,TUR,Turkey,F,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,6/18/10,3,3 years ineligibility,6/2/16,,,,,,,,,,,,,,,,
Kaan,Sencan,TUR,Turkey,M,AAF,"Stanozolol, Drostanolone & Dehydrochloromethyltestosterone",6/1/13,2.5,2 years and 6 months ineligibility,12/24/15,,,,,,,,,,,,,,,,
Binnaz,Uslu,TUR,Turkey,F,AAF,Stanozolol,8/30/11,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Nevin,Yanit,TUR,Turkey,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,2/7/13,3,3 years ineligibility,3/5/16,,,,,,,,,,,,,,,,
Mehmet,Yarimay,TUR,Turkey,M,AAF,Clomiphene,4/22/14,2,2 years ineligibility,5/19/16,,,,,,,,,,,,,,,,
Ian,Burns,GBR,UK,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,9/22/11,4,4 years ineligibility,5/18/16,,,,,,,,,,,,,,,,
Carl,Fletcher,GBR,UK,M,IAAF Rule 32.2g,Trafficking,3/23/11,4,4 years ineligibility,11/7/15,,,,,,,,,,,,,,,,
Roman,Avramenko,UKR,Ukraine,M,AAF,AAF Dehydrochloromethyltestosterone,8/17/13,2,2 years ineligibility,8/27/15,,,,,,,,,,,,,,,,
Lyudmila,Blonska,UKR,Ukraine,F,AAF,Methyltestosterone,8/16/08,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Andrii,Borodkin,UKR,Ukraine,M,AAF,Stanozolol,6/3/14,4,4 years ineligibility,7/26/18,,,,,,,,,,,,,,,,
Andriy,Kozyr,UKR,Ukraine,M,AAF,Stanozolol & Dehydrochloromethyltestosterone,2/20/15,4,4 years ineligibility,3/22/19,,,,,,,,,,,,,,,,
Vita,Pavlysh,UKR,Ukraine,F,AAF,Lifetime ban (2ndAAF Stanozolol,3/5/04,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Vladyslav,Piskunov,UKR,Ukraine,M,AAF,Drostanolone,8/8/05,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Darya,Pizhankova,UKR,Ukraine,F,AAF,Drostanolone,8/14/13,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Yuliya,Ruban,UKR,Ukraine,F,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,3/8/12,2,2 years ineligibility,2/24/17,,,,,,,,,,,,,,,,
Mariya,Ryemyen,UKR,Ukraine,F,AAF,Methandienone,1/10/14,2,2 years ineligibility,3/2/16,,,,,,,,,,,,,,,,
Svitlana,Shmidt,UKR,Ukraine,F,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,3/8/12,4,4 years ineligibility,3/16/19,,,,,,,,,,,,,,,,
Tetyana,Vernyhor,UKR,Ukraine,F,AAF,Methylhexaneamine,4/19/15,1,1 year ineligibility,6/1/16,,,,,,,,,,,,,,,,
Lyudmila,Yosypenko,UKR,Ukraine,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,8/25/11,4,4 years ineligibility,3/26/17,,,,,,,,,,,,,,,,
Rashed Saif,Al-Meqbali,UAE,United Arab Emirates,M,AAF,Stanozolol,5/31/14,8,8 years ineligibility,5/30/22,,,,,,,,,,,,,,,,
Rodolfo,Casanova,URU,Uruguay,M,IAAF rule 32.2c,Refusal,3/16/14,2,2 years ineligibility,5/7/16,,,,,,,,,,,,,,,,
Mark,Block,USA,USA,M,IAAF rule 32.2h,Administration/attempted administration of a prohibited substance to an athlete,1/1/09,10,10 years ineligibility,12/31/18,,,,,,,,,,,,,,,,
Brian,Coushay,USA,USA,M,AAF,Amfetamine,7/25/15,2,2 years ineligibility,9/8/17,,,,,,,,,,,,,,,,
Matthew,Di Buono,USA,USA,M,AAF,Anabolic Steroids; 3 Whereabouts Failures within an 18 month period IAAF Rule 32.2 (d),12/31/13,4.417,4 years and 5 months ineligibility,1/16/16,,,,,,,,,,,,,,,,
Atalelech,Ketema,USA,USA,F,AAF,Ephedrine,5/18/14,2,2 years ineligibility,5/17/16,,,,,,,,,,,,,,,,
Inika,Mcpherson,USA,USA,F,AAF,Benzoylecgonine,6/29/14,1.75,21 months ineligibility,4/26/16,,,,,,,,,,,,,,,,
Raymond,Stewart,USA,USA,M,IAAF Rule 32.2g ; IAAF rule 32.2h,Trafficking ; Administration,1/1/04,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Mohamed,Trafeh,USA,USA,M,IAAF Rule 32.2b; IAAF Rule 32.2c,Use of a prohibited substance ; Evasion,1/1/12,4,4 years ineligibility,1/11/16,,,,,,,,,,,,,,,,
Jerome,Young,USA,USA,M,AAF,EPO,7/23/04,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Abror,Akramov,UZB,Uzbekistan,M,AAF,Norandrosterone,5/14/14,2,2 years ineligibility,8/4/16,,,,,,,,,,,,,,,,
Grigoriy,Kamulya,UZB,Uzbekistan,M,AAF,Dehydrochloromethyltestosterone,6/14/14,1.67,1 year and 8 months ineligibility,2/29/16,,,,,,,,,,,,,,,,
Sabina,Yusufova,UZB,Uzbekistan,F,AAF,Dehyrdochloromethyltestosterone,5/14/14,2,2 years ineligibility,5/27/16,,,,,,,,,,,,,,,,
Victor,Castillo,VEN,Venezuela,M,AAF,Methylhexaneamine,10/25/11,4,4 years ineligibility,11/21/15,,,,,,,,,,,,,,,,
Genesis Arianna,Olivera,VEN,Venezuela,F,AAF,Stanozolol,9/27/14,2,2 years ineligibility,9/26/16,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
